"pop3a_total","pop3b_total","pop3c_total","pop3d_total","pop3e_total","pop3f_total","pop3g_total","pop3h_total","pop3i_total","pop3j_total","pop3k_total","pop3l_total","pop3m_total","pop3n_total","pop3o_total","pop3p_total","pop3q_total","pop3r_total","pop3s_total","pop3t_total","pop3u_total","pop3v_total","pop3w_total","pop3x_total","age","house","edu","ethnicity_x","house2","sex","socialaccept_mcfsw","socialaccept_msm","socialaccept_fsw","socialaccept_pwid"
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,53,"4-room","Secondary","Chinese","4+ room",1,-5,-9,-5,-9
1,3,2,5,3,0,12,6,0,1,0,0,0,0,1,0,0,2,0,0,8,15,5,1,39,"4-room","University","Chinese","4+ room",1,-1,-8,-3,-5
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,"4-room","University","Chinese","4+ room",0,-7,-9,-9,-9
0,0,0,2,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,2,1,0,64,"2-room","Pre-tertiary","Chinese","1-3 room",0,-5,-9,-9,-7
5,10,4,0,10,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,2,0,0,45,"Condominium","Pre-tertiary","Chinese","Private",0,-9,-9,-9,-9
0,4,4,4,4,0,0,2,3,1,2,0,0,1,0,0,2,4,0,0,2,3,0,0,63,"4-room","Primary","Malay","4+ room",0,-9,-9,-9,-9
0,0,2,2,2,1,0,1,0,0,1,1,0,1,2,1,0,1,0,2,3,3,1,1,62,"2-room","Secondary","Malay","1-3 room",1,-9,-9,-9,-9
0,0,0,0,0,0,0,1,0,0,1,1,2,3,0,0,2,3,0,0,1,0,3,3,50,"2-room","Primary","Malay","1-3 room",0,-9,-9,-9,-9
0,1,0,2,0,0,0,1,0,3,1,1,0,0,0,0,2,0,0,0,3,0,0,0,62,"5-room","Secondary","Chinese","4+ room",0,-4,-9,-4,-9
0,4,10,10,0,5,0,8,7,4,0,0,0,0,0,2,2,0,0,0,0,1,8,1,39,"3-room","Pre-tertiary","Indian","1-3 room",1,-2,-9,-2,-9
1,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,52,"3-room","Pre-tertiary","Indian","1-3 room",1,-5,-9,-5,-9
0,10,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,50,"4-room","Pre-tertiary","Indian","4+ room",0,-9,-9,-9,-8
1,0,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,10,5,0,0,69,"2-room","Secondary","Chinese","1-3 room",1,-3,-9,-4,-5
5,7,0,5,10,0,0,0,5,0,2,10,5,2,5,0,10,0,5,0,0,0,3,2,32,"4-room","Pre-tertiary","Indian","4+ room",1,-3,-6,0,-5
1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,52,"Others","Secondary","Chinese","Private",0,-5,-9,-6,-9
1,5,1,2,2,4,3,3,5,1,2,2,2,2,3,8,5,2,1,0,3,3,2,0,51,"4-room","University","Chinese","4+ room",0,-1,-1,-2,-8
0,0,0,2,1,0,4,0,0,0,0,1,0,0,0,1,0,2,0,0,2,1,6,2,57,"5-room","University","Chinese","4+ room",1,-4,-7,-8,-6
0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,46,"5-room","Secondary","Chinese","4+ room",0,-9,-8,-9,-9
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"5-room","Secondary","Chinese","4+ room",1,-8,-8,-4,-8
0,1,0,4,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,57,"4-room","Secondary","Malay","4+ room",1,-9,-9,-9,-9
1,0,1,0,2,2,8,2,0,1,1,0,1,0,0,0,0,1,0,0,2,4,3,1,57,"5-room","University","Chinese","4+ room",1,-7,-6,-6,-9
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,56,"5-room","University","Chinese","4+ room",0,-5,-9,-5,-9
1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,0,0,55,"Landed","Pre-tertiary","Chinese","Private",1,-3,-9,-4,-8
0,0,1,2,1,1,0,2,0,0,0,0,0,1,1,0,0,1,1,0,5,5,1,0,60,"4-room","Secondary","Chinese","4+ room",0,-6,-6,-7,-9
3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,8,3,5,0,62,"4-room","Secondary","Indian","4+ room",1,-9,-9,-9,-9
0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,46,"4-room","Pre-tertiary","Indian","4+ room",1,-7,-4,-8,-9
0,0,0,1,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,0,46,"4-room","Pre-tertiary","Chinese","4+ room",1,-3,-8,-4,-8
1,2,4,0,2,4,0,2,4,3,1,2,1,0,2,0,0,0,0,0,1,1,4,0,43,"3-room","Pre-tertiary","Chinese","1-3 room",0,-9,-8,-9,-9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,60,"Condominium","Pre-tertiary","Chinese","Private",0,-9,-9,-9,-9
2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,59,"5-room","Pre-tertiary","Chinese","4+ room",0,-9,-9,-9,-9
0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,52,"4-room","Primary","Malay","4+ room",0,-9,-9,-9,-9
0,2,2,6,7,2,0,2,0,1,0,2,0,3,2,0,0,2,0,0,2,5,0,0,41,"4-room","Secondary","Malay","4+ room",0,-9,-9,-9,-9
0,3,1,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,23,"3-room","Pre-tertiary","Indian","1-3 room",0,-7,-5,-6,-9
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,59,"4-room","Secondary","Malay","4+ room",0,-9,-9,-9,-9
5,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,3,10,0,58,"5-room","Secondary","Chinese","4+ room",0,-6,-9,-6,-9
2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,3,0,68,"5-room","Secondary","Chinese","4+ room",1,-7,-9,-7,-9
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,64,"5-room","Primary","Chinese","4+ room",1,-5,-9,-6,-9
0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,"5-room","Secondary","Malay","4+ room",1,-9,-9,-9,-9
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,"5-room","Secondary","Malay","4+ room",1,-9,-9,-8,-9
0,1,1,2,0,0,0,4,0,0,0,1,1,0,0,9,0,3,0,0,1,2,0,12,30,"4-room","Secondary","Malay","4+ room",0,-9,-9,-8,-6
0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,58,"4-room","Secondary","Malay","4+ room",0,-9,-9,-9,-8
5,0,3,0,2,0,0,2,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,0,31,"3-room","Pre-tertiary","Chinese","1-3 room",0,-3,-3,-3,-8
0,0,10,2,0,2,0,4,1,2,0,50,1,3,5,1,1,0,1,0,1,1,5,0,58,"4-room","Secondary","Chinese","4+ room",0,-4,-5,-3,-8
